route,method,personalized,declared_cache_control,blanket_header_applies,observed_cache_control,observed_cache_states,max_age_seen,set_cookie_seen,shared_cache_hit_observed,cache_key_ignores_session,cross_session_hit,positive_control,evidence_basis,verdict,severity,reason
/api/admin/analytics/events,GET,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),latent-hazard,High,"Not user-specific, but not public either: anonymous callers receive 401, while an authorized caller's 200 carries ""s-maxage=60, stale-while-revalidate=300"". Because the cache key ignores the session, a 200 generated for an authorized caller can be stored and then served to an unauthorized one. Auth is enforced in the handler, which the shared cache sits in front of."
/api/admin/analytics/users,GET,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),latent-hazard,High,"Not user-specific, but not public either: anonymous callers receive 401, while an authorized caller's 200 carries ""s-maxage=60, stale-while-revalidate=300"". Because the cache key ignores the session, a 200 generated for an authorized caller can be stored and then served to an unauthorized one. Auth is enforced in the handler, which the shared cache sits in front of."
/api/admin/audit-log,GET,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),latent-hazard,High,"Not user-specific, but not public either: anonymous callers receive 401, while an authorized caller's 200 carries ""s-maxage=60, stale-while-revalidate=300"". Because the cache key ignores the session, a 200 generated for an authorized caller can be stored and then served to an unauthorized one. Auth is enforced in the handler, which the shared cache sits in front of."
/api/admin/calculate-popularity,POST,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),safe-by-design,,"Method POST: the shared cache does not store responses to non-GET requests, so the blanket directive cannot expose this representation."
/api/admin/calculate-popularity,GET,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),latent-hazard,High,"Not user-specific, but not public either: anonymous callers receive 401, while an authorized caller's 200 carries ""s-maxage=60, stale-while-revalidate=300"". Because the cache key ignores the session, a 200 generated for an authorized caller can be stored and then served to an unauthorized one. Auth is enforced in the handler, which the shared cache sits in front of."
/api/admin/clubs,GET,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),latent-hazard,High,"Not user-specific, but not public either: anonymous callers receive 401, while an authorized caller's 200 carries ""s-maxage=60, stale-while-revalidate=300"". Because the cache key ignores the session, a 200 generated for an authorized caller can be stored and then served to an unauthorized one. Auth is enforced in the handler, which the shared cache sits in front of."
/api/admin/clubs/[id],PATCH,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),safe-by-design,,"Method PATCH: the shared cache does not store responses to non-GET requests, so the blanket directive cannot expose this representation."
/api/admin/events,POST,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),safe-by-design,,"Method POST: the shared cache does not store responses to non-GET requests, so the blanket directive cannot expose this representation."
/api/admin/events,GET,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),latent-hazard,High,"Not user-specific, but not public either: anonymous callers receive 401, while an authorized caller's 200 carries ""s-maxage=60, stale-while-revalidate=300"". Because the cache key ignores the session, a 200 generated for an authorized caller can be stored and then served to an unauthorized one. Auth is enforced in the handler, which the shared cache sits in front of."
/api/admin/events/[id],DELETE,false,,true,,,,,,true,,false,static (vercel.json path rule + probed path samples on the same prefix),safe-by-design,,"Method DELETE: the shared cache does not store responses to non-GET requests, so the blanket directive cannot expose this representation."
