id,route,methods,file,loc,auth_requirement,role_required,rls_reliance,personalized,input_validation,test_present,dead_or_duplicate,cache_policy_today,cache_policy_target,uses_cookie_client,uses_service_client,calls_verify_admin,calls_get_user,calls_get_session,calls_check_ban,inline_role_check,references_club_members,parses_body,has_zod,sets_cache_control,cache_control_values,env_vars_referenced,has_try_catch,catch_any_count,console_count,as_any_count,tables_referenced,no_auth_signal
api.admin.analytics.events,/api/admin/analytics/events,GET,src/app/api/admin/analytics/events/route.ts,109,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,0,0,events;event_popularity_scores,false
api.admin.analytics.users,/api/admin/analytics/users,GET,src/app/api/admin/analytics/users/route.ts,83,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,true,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,0,0,users,false
api.admin.audit-log,/api/admin/audit-log,GET,src/app/api/admin/audit-log/route.ts,40,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,0,1,admin_audit_log,false
api.admin.calculate-popularity,/api/admin/calculate-popularity,POST;GET,src/app/api/admin/calculate-popularity/route.ts,240,machine,machine secret ADMIN_API_KEY (Authorization: Bearer <secret>); NOT verifyAdmin() despite the /api/admin/ path,bypassed,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,false,false,false,false,false,false,false,false,false,,NEXT_PUBLIC_SUPABASE_URL;SUPABASE_SERVICE_ROLE_KEY;ADMIN_API_KEY,true,0,6,0,events;event_popularity_scores,true
api.admin.clubs.id,/api/admin/clubs/[id],PATCH,src/app/api/admin/clubs/[id]/route.ts,229,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,true,false,false,false,false,true,true,false,false,,,true,0,4,0,clubs;moderation_reviews;users;club_members;notifications,false
api.admin.clubs,/api/admin/clubs,GET,src/app/api/admin/clubs/route.ts,35,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,1,0,clubs,false
api.admin.events.id.edits,/api/admin/events/[id]/edits,PATCH,src/app/api/admin/events/[id]/edits/route.ts,149,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,true,false,false,false,false,false,true,false,false,,,false,0,0,0,events;notifications,false
api.admin.events.id,/api/admin/events/[id],PUT;DELETE,src/app/api/admin/events/[id]/route.ts,111,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,false,true,false,false,false,false,false,true,false,false,,,true,0,2,0,events,false
api.admin.events.id.status,/api/admin/events/[id]/status,PATCH,src/app/api/admin/events/[id]/status/route.ts,202,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,true,false,false,false,false,false,true,false,false,,,true,0,2,0,events;moderation_reviews;notifications,false
api.admin.events,/api/admin/events,GET;POST,src/app/api/admin/events/route.ts,188,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,true,false,false,,,true,0,1,0,events;event_popularity_scores,false
api.admin.experiments.id.results,/api/admin/experiments/[id]/results,GET,src/app/api/admin/experiments/[id]/results/route.ts,148,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,0,0,experiments;experiment_variants;experiment_assignments;recommendation_feedback,false
api.admin.experiments.id,/api/admin/experiments/[id],GET;PATCH;DELETE,src/app/api/admin/experiments/[id]/route.ts,154,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,true,false,false,,,false,0,0,0,experiments;experiment_variants;experiment_assignments,false
api.admin.experiments,/api/admin/experiments,GET;POST,src/app/api/admin/experiments/route.ts,132,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,true,false,false,,,false,0,0,0,experiments;experiment_variants;experiment_assignments,false
